K,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,0.842,0.018,0.84,0.015,0.856,0.009,0.844,0.014
4,0.844,0.015,0.847,0.016,0.834,0.017,0.839,0.017
5,0.829,0.014,0.828,0.022,0.817,0.018,0.818,0.018
6,0.861,0.021,0.868,0.026,0.85,0.021,0.856,0.023
7,0.833,0.018,0.843,0.025,0.81,0.024,0.822,0.02
8,0.834,0.024,0.832,0.029,0.831,0.029,0.829,0.028
9,0.817,0.022,0.813,0.022,0.821,0.024,0.811,0.025
10,0.847,0.02,0.849,0.03,0.836,0.028,0.839,0.024
