K,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,0.845,0.025,0.847,0.024,0.837,0.038,0.84,0.031
4,0.864,0.017,0.873,0.025,0.852,0.023,0.859,0.02
5,0.831,0.025,0.832,0.031,0.827,0.025,0.824,0.025
6,0.859,0.022,0.862,0.025,0.853,0.024,0.855,0.022
7,0.857,0.014,0.872,0.023,0.84,0.028,0.852,0.017
8,0.834,0.01,0.83,0.015,0.832,0.012,0.826,0.015
9,0.822,0.028,0.827,0.029,0.808,0.041,0.815,0.033
10,0.851,0.022,0.865,0.026,0.829,0.03,0.843,0.027
