K,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,0.778,0.027,0.781,0.019,0.758,0.022,0.767,0.022
4,0.8,0.019,0.804,0.041,0.769,0.007,0.782,0.019
5,0.843,0.006,0.845,0.004,0.834,0.022,0.84,0.012
6,0.831,0.016,0.838,0.021,0.812,0.024,0.822,0.019
7,0.832,0.018,0.845,0.026,0.812,0.029,0.823,0.02
8,0.834,0.03,0.843,0.034,0.81,0.029,0.824,0.031
9,0.846,0.02,0.849,0.029,0.845,0.025,0.84,0.022
10,0.838,0.02,0.842,0.028,0.832,0.017,0.834,0.018
