K,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,0.844,0.014,0.846,0.021,0.835,0.013,0.834,0.014
4,0.844,0.018,0.843,0.028,0.851,0.004,0.84,0.017
5,0.816,0.008,0.815,0.014,0.809,0.007,0.81,0.008
6,0.859,0.018,0.871,0.022,0.841,0.022,0.852,0.019
7,0.828,0.015,0.833,0.026,0.821,0.023,0.822,0.014
8,0.831,0.019,0.833,0.028,0.827,0.022,0.827,0.021
9,0.852,0.017,0.858,0.024,0.84,0.023,0.845,0.023
10,0.828,0.021,0.828,0.032,0.813,0.025,0.818,0.026
